title,price,location,condition,url
"TELENOR,- telefona e kato nov",30 lv.,"gr. Dalgopol, Oblast Varna",izpolzvano,https://www.olx.bg/ad/telenor-telefona-e-kato-nov-CID632-ID8oFsH.html
Telefon Xiaomi redmi 6,135 lv.,"Akatsiya, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/telefon-xiaomi-redmi-6-CID632-ID8q7s9.html
Prodavam Nokia 530,30 lv.,"Vazrazhdane, gr. Yambol, Oblast Yambol",izpolzvano,https://www.olx.bg/ad/prodavam-nokia-530-CID632-ID8q7oV.html
Samsung Galaxy y GT-S5369,59 lv.,"Gorublyane, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-y-gt-s5369-CID632-ID8ou2w.html
Xiaomi Mi 9T Flame Red,310 lv.,"gr. Mezdra, Oblast Vratsa",izpolzvano,https://www.olx.bg/ad/xiaomi-mi-9t-flame-red-CID632-ID8q7tJ.html
Huawei P40 lite black,320 lv.,"Tsentralna poshta, gr. Varna, Oblast Varna",izpolzvano,https://www.olx.bg/ad/huawei-p40-lite-black-CID632-ID8q7tZ.html
Statsionaren telefon ALCATEL T50,16 lv.,"Tsentar, gr. Stara Zagora, Oblast Stara Zagora",novo,https://www.olx.bg/ad/statsionaren-telefon-alcatel-t50-CID632-ID8q7uU.html
Statsionaren telefon SIEMENS euroset 805,10 lv.,"Tsentar, gr. Stara Zagora, Oblast Stara Zagora",novo,https://www.olx.bg/ad/statsionaren-telefon-siemens-euroset-805-CID632-ID8q7yM.html
Samsung S10 Blue,600 lv.,"Balik, gr. Dobrich, Oblast Dobrich",izpolzvano,https://www.olx.bg/ad/samsung-s10-blue-CID632-ID8q7zZ.html
Statsionaren telefon Panasonik,10 lv.,"Razsadnika, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/statsionaren-telefon-panasonik-CID632-ID6RvDT.html
Cat s41 samo sas zaryadno komentar za seriozni i barter,300 lv.,"Iztok, gr. Silistra, Oblast Silistra",novo,https://www.olx.bg/ad/cat-s41-samo-sas-zaryadno-komentar-za-seriozni-i-barter-CID632-ID8oC39.html
