condition,location,price,title,url
izpolzvano,"Mladost 3, gr. Sofiya, Oblast Sofiya-grad",100.0,Iphone 6 16gb. Barter,https://www.olx.bg/ad/iphone-6-16gb-barter-CID632-ID8sj8b.html
izpolzvano,"7-mi 11-ti kilometar, gr. Sofiya, Oblast Sofiya-grad",70.0,Ifon 5,https://www.olx.bg/ad/ifon-5-CID632-ID7qVYH.html
novo,"gr. Novi Iskar, Oblast Sofiya-grad",350.0,GARANTsIYa! Samsung galaxy A50,https://www.olx.bg/ad/garantsiya-samsung-galaxy-a50-CID632-ID8sjdk.html
izpolzvano,"Lyulin - tsentar, gr. Sofiya, Oblast Sofiya-grad",25.0,6100 Nokia,https://www.olx.bg/ad/6100-nokia-CID632-ID8dNdM.html
izpolzvano,"Levski, gr. Sofiya, Oblast Sofiya-grad",49.0,Telefoni za chasti,https://www.olx.bg/ad/telefoni-za-chasti-CID632-ID85Q12.html
izpolzvano,"Gagarin, gr. Plovdiv, Oblast Plovdiv",450.0,"Prodavam Iphone 7, v otlichno sastoyanie",https://www.olx.bg/ad/prodavam-iphone-7-v-otlichno-sastoyanie-CID632-ID8siYH.html
izpolzvano,"Alen mak, gr. Blagoevgrad, Oblast Blagoevgrad",70.0,IPhone 5s zapazen,https://www.olx.bg/ad/iphone-5s-zapazen-CID632-ID7f9D5.html
izpolzvano,"Karshiyaka, gr. Plovdiv, Oblast Plovdiv",25.0,Nokia Lumia 520 Smartphone / Smartfon Nokia Lumia 520 - ZA ChASTI,https://www.olx.bg/ad/nokia-lumia-520-smartphone-smartfon-nokia-lumia-520-za-chasti-CID632-ID80vLR.html
novo,"Simeonovo, gr. Sofiya, Oblast Sofiya-grad",40.0,IPhone,https://www.olx.bg/ad/iphone-CID632-ID8siZV.html
izpolzvano,"Kyuchuk Parizh, gr. Plovdiv, Oblast Plovdiv",129.0,Barter Motorola e5 plus s podaratsi,https://www.olx.bg/ad/barter-motorola-e5-plus-s-podaratsi-CID632-ID8siZW.html
novo,"gr. Bansko, Oblast Blagoevgrad",190.0,"Samsung Galaxy A20e Black 32GB - brand new, nov",https://www.olx.bg/ad/samsung-galaxy-a20e-black-32gb-brand-new-nov-CID632-ID8sj0L.html
izpolzvano,"Mladost, gr. Pazardzhik, Oblast Pazardzhik",130.0,Radiostantsiya Motorola GM340,https://www.olx.bg/ad/radiostantsiya-motorola-gm340-CID632-ID8kvzJ.html
izpolzvano,"Lyulin 10, gr. Sofiya, Oblast Sofiya-grad",630.0,Samsung s10 s shest kalafcheta,https://www.olx.bg/ad/samsung-s10-s-shest-kalafcheta-CID632-ID89kcb.html
izpolzvano,"gr. Asenovgrad, Oblast Plovdiv",100.0,Iphone 6 64GB,https://www.olx.bg/ad/iphone-6-64gb-CID632-ID8sj1u.html
izpolzvano,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",975.0,IPhone 11 128GB Garantsiya! A1,https://www.olx.bg/ad/iphone-11-128gb-garantsiya-a1-CID632-ID8sj2J.html
izpolzvano,"Tsentar, gr. Plovdiv, Oblast Plovdiv",180.0,Prodavam Samsung Galaxy J4+ 32/2GB,https://www.olx.bg/ad/prodavam-samsung-galaxy-j4-32-2gb-CID632-ID8sj1Z.html
izpolzvano,"Mladost 1, gr. Sofiya, Oblast Sofiya-grad",379.0,64GB Xiaomi Redmi Note 9 Pro Garantsiya do 2022 g. Green,https://www.olx.bg/ad/64gb-xiaomi-redmi-note-9-pro-garantsiya-do-2022-g-green-CID632-ID8sj2S.html
izpolzvano,"Mladost 2, gr. Sofiya, Oblast Sofiya-grad",110.0,Honor 8S 32Gb pamet,https://www.olx.bg/ad/honor-8s-32gb-pamet-CID632-ID8nPJH.html
izpolzvano,"s. Getsovo, Oblast Razgrad",50.0,Telefon Lenovo A 536,https://www.olx.bg/ad/telefon-lenovo-a-536-CID632-ID8sj4j.html
izpolzvano,"Tsentar, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",1079.0,Samsung Note 20 5G 256GB Bronze 2g.Garantsiya!,https://www.olx.bg/ad/samsung-note-20-5g-256gb-bronze-2g-garantsiya-CID632-ID8rnBP.html
izpolzvano,"Tsentar, gr. Stara Zagora, Oblast Stara Zagora",969.0,16m.Garantsiya Samsung Galaxy S20+ Plus Blue Dual 128GB 4500MAH,https://www.olx.bg/ad/16m-garantsiya-samsung-galaxy-s20-plus-blue-dual-128gb-4500mah-CID632-ID8sa2K.html
izpolzvano,"Hisarya, gr. Haskovo, Oblast Haskovo",180.0,Telefon lenovo a6,https://www.olx.bg/ad/telefon-lenovo-a6-CID632-ID8sj4G.html
izpolzvano,"Idealen tsentar, gr. Pleven, Oblast Pleven",140.0,Lot telefoni Nokia,https://www.olx.bg/ad/lot-telefoni-nokia-CID632-ID8sj4B.html
izpolzvano,"v.z. Sliven, gr. Sliven, Oblast Sliven",490.0,Huawei Mate 20 Pro,https://www.olx.bg/ad/huawei-mate-20-pro-CID632-ID8sj4S.html
izpolzvano,"zh.gr. Yuzhen park, gr. Sofiya, Oblast Sofiya-grad",60.0,Iphone 4 S,https://www.olx.bg/ad/iphone-4-s-CID632-ID8sj5c.html
novo,"Kievtsi, gr. Gabrovo, Oblast Gabrovo",470.0,Xiaomi Mi 10t Lite + grivna Mi Band 5,https://www.olx.bg/ad/xiaomi-mi-10t-lite-grivna-mi-band-5-CID632-ID8sj5q.html
izpolzvano,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",650.0,Iphone X 64 gb Black,https://www.olx.bg/ad/iphone-x-64-gb-black-CID632-ID8sj5K.html
izpolzvano,"Kyuchuk Parizh, gr. Plovdiv, Oblast Plovdiv",320.0,Iphone 7-32GB,https://www.olx.bg/ad/iphone-7-32gb-CID632-ID8sj5r.html
izpolzvano,"Zapad 3, gr. Targovishte, Oblast Targovishte",39.0,Lot-Sony Ericsson/Panasonic /Black Berry/HTC,https://www.olx.bg/ad/lot-sony-ericsson-panasonic-black-berry-htc-CID632-ID89Igc.html
izpolzvano,"MBAL Ivan Rilski, gr. Stara Zagora, Oblast Stara Zagora",270.0,Huawei P Smart S 2020 Breathing Crystal 128GB,https://www.olx.bg/ad/huawei-p-smart-s-2020-breathing-crystal-128gb-CID632-ID8siQz.html
izpolzvano,"Pazara, gr. Shumen, Oblast Shumen",10.0,Statsionaren Telefon,https://www.olx.bg/ad/statsionaren-telefon-CID632-ID8siYJ.html
izpolzvano,"gr. Bankya, Oblast Sofiya-grad",470.0,Iphone 8 64 GB,https://www.olx.bg/ad/iphone-8-64-gb-CID632-ID8siR3.html
izpolzvano,"Vinitsa, gr. Varna, Oblast Varna",25.0,Lg e900 Optimus 7,https://www.olx.bg/ad/lg-e900-optimus-7-CID632-ID7NYtC.html
izpolzvano,"gr. Banya, Oblast Plovdiv",260.0,Telefon Huawei p20 light,https://www.olx.bg/ad/telefon-huawei-p20-light-CID632-ID8kWpy.html
izpolzvano,"v.z. Kiliite, gr. Sofiya, Oblast Sofiya-grad",515.0,IphONE 8 ReD,https://www.olx.bg/ad/iphone-8-red-CID632-ID8siSu.html
izpolzvano,"Dabnika, gr. Vratsa, Oblast Vratsa",30.0,Nokiya 3310,https://www.olx.bg/ad/nokiya-3310-CID632-ID7HthR.html
izpolzvano,"gr. Dimitrovgrad, Oblast Haskovo",150.0,Iphone 6S 32GB otklyuchen,https://www.olx.bg/ad/iphone-6s-32gb-otklyuchen-CID632-ID8siRi.html
novo,"Kolhozen pazar, gr. Varna, Oblast Varna",1350.0,"Samsung G985f/ds - Galaxy S20 plus - chisto nov, nerazpechatan",https://www.olx.bg/ad/samsung-g985f-ds-galaxy-s20-plus-chisto-nov-nerazpechatan-CID632-ID8siSW.html
izpolzvano,"Mladost 1, gr. Montana, Oblast Montana",160.0,Huawei mate 20 lite,https://www.olx.bg/ad/huawei-mate-20-lite-CID632-ID8qeCQ.html
izpolzvano,"Reduta, gr. Sofiya, Oblast Sofiya-grad",100.0,Iphone 6,https://www.olx.bg/ad/iphone-6-CID632-ID8siTl.html
novo,"gr. Asenovgrad, Oblast Plovdiv",1599.0,Nov zapechatan iphone 12 blue vazmozhen barter,https://www.olx.bg/ad/nov-zapechatan-iphone-12-blue-vazmozhen-barter-CID632-ID8siUp.html
izpolzvano,"Slatina, gr. Sofiya, Oblast Sofiya-grad",50.0,Prodavam Samsung Galaksi S 5 Android,https://www.olx.bg/ad/prodavam-samsung-galaksi-s-5-android-CID632-ID8siUg.html
novo,"Doktorski pametnik, gr. Sofiya, Oblast Sofiya-grad",2310.0,Prodavam NOVI iPhone 12 Pro Max 128GB,https://www.olx.bg/ad/prodavam-novi-iphone-12-pro-max-128gb-CID632-ID8siUv.html
novo,"Idealen tsentar, gr. Blagoevgrad, Oblast Blagoevgrad",18.0,Fonokarti 50 impulsa,https://www.olx.bg/ad/fonokarti-50-impulsa-CID632-ID8q9K0.html
izpolzvano,"gr. Banya, Oblast Plovdiv",100.0,"Telefoni, retro ,stari GSM kolektsionerski",https://www.olx.bg/ad/telefoni-retro-stari-gsm-kolektsionerski-CID632-ID8021D.html
izpolzvano,"gr. Pirdop, Oblast Sofiya-oblast",50.0,Telefon Vodafone,https://www.olx.bg/ad/telefon-vodafone-CID632-ID8rcY1.html
izpolzvano,"s. Hadzhidimitrovo, Oblast Veliko Tarnovo",120.0,Nokia 10 Androud,https://www.olx.bg/ad/nokia-10-androud-CID632-ID8siUR.html
novo,"Meden rudnik - zona G, gr. Burgas, Oblast Burgas",140.0,Samsung   galaxy S6 Edge gold telefon,https://www.olx.bg/ad/samsung-galaxy-s6-edge-gold-telefon-CID632-ID8siWc.html
izpolzvano,"Manastirski livadi, gr. Sofiya, Oblast Sofiya-grad",159.0,Samsung Galaksi A5  16GB/ Samsung Galaxy A5 2016 16 GB,https://www.olx.bg/ad/samsung-galaksi-a5-16gb-samsung-galaxy-a5-2016-16-gb-CID632-ID8eYE9.html
novo,"Mladost 1, gr. Sofiya, Oblast Sofiya-grad",569.0,ZAPEChATAN 128GB Samsung Galaxy A71 Telenor Garantsiya do 2023g. Blue,https://www.olx.bg/ad/zapechatan-128gb-samsung-galaxy-a71-telenor-garantsiya-do-2023g-blue-CID632-ID8siWy.html
izpolzvano,"Strelbishte, gr. Sofiya, Oblast Sofiya-grad",25.0,Shaybov telefon - raboti,https://www.olx.bg/ad/shaybov-telefon-raboti-CID632-ID8siWf.html
